rank	feat_idx	feat_name	std	imp_argmin	imp_argmin_sd	imp_overhead	imp_overhead_sd	imp_srocc	imp_srocc_sd
1	49	feat_pixel_count	280332	0.026454	0.004267	0.016519	0.001727	0.802401	0.020057
2	8	feat_laplacian_variance	3.87595	0.026209	0.007198	0.002765	0.000355	0.003591	0.000073
3	10	feat_distinct_color_bins	2073.14	0.015309	0.001162	0.001619	0.000563	0.002375	0.000173
4	60	feat_aq_map_p75	2.12277	0.012615	0.001881	0.003378	0.000643	0.000927	0.000129
5	70	feat_noise_floor_uv_p75	0.324645	0.010043	0.001200	0.001105	0.000280	0.000056	0.000019
6	17	feat_cr_peak_sharpness	17.3489	0.009553	0.003345	0.001311	0.001403	0.001023	0.000104
7	75	feat_laplacian_variance_p99	74.9605	0.006981	0.002862	-0.000349	0.000354	0.000587	0.000097
8	46	feat_quant_survival_y	0.0879994	0.006859	0.003682	0.003405	0.000594	0.003044	0.000116
9	59	feat_aq_map_p50	2.03977	0.006736	0.002739	0.002144	0.000395	0.000622	0.000081
10	100	feat_gradient_fraction_smooth	0.202573	0.004287	0.001817	-0.000040	0.000181	0.000072	0.000008
11	63	feat_aq_map_p99	2.31608	0.004042	0.001578	-0.000266	0.000279	0.000002	0.000014
12	1	feat_edge_density	0.205557	0.004042	0.001428	-0.000565	0.000206	-0.000009	0.000005
13	12	feat_cb_horiz_sharpness	0.21672	0.003797	0.001952	0.000107	0.000193	0.000013	0.000007
14	4	feat_cr_sharpness	0.0201743	0.003797	0.001187	-0.000697	0.000289	0.000270	0.000022
15	72	feat_laplacian_variance_p50	17.2939	0.003307	0.002035	0.000308	0.000084	0.000121	0.000017
16	94	feat_noise_floor_y_p1	0.167817	0.003062	0.000548	-0.000246	0.000138	0.000057	0.000006
17	21	feat_dct_compressibility_uv	30.3443	0.002694	0.001480	-0.000313	0.000373	0.000016	0.000003
18	14	feat_cb_peak_sharpness	4.71897	0.002572	0.002883	0.001035	0.000335	0.000145	0.000024
19	74	feat_laplacian_variance_p90	60.2402	0.001960	0.001913	-0.000490	0.000362	0.000517	0.000046
20	97	feat_quant_survival_y_p1	0.023441	0.001470	0.000995	-0.000010	0.000145	0.000043	0.000009
21	71	feat_noise_floor_uv_p90	0.384172	0.001470	0.001997	-0.000174	0.000093	-0.000018	0.000014
22	16	feat_cr_vert_sharpness	0.515104	0.001347	0.003010	0.000784	0.000777	0.001403	0.000159
23	13	feat_cb_vert_sharpness	0.208649	0.001347	0.002857	0.000045	0.000610	0.000396	0.000021
24	90	feat_laplacian_variance_p10	2.62425	0.001347	0.000600	0.000089	0.000105	0.000011	0.000001
25	36	feat_aq_map_mean	0.987307	0.000857	0.001200	-0.000253	0.000277	-0.000008	0.000003
26	77	feat_quant_survival_y_p10	0.0439281	0.000857	0.000624	-0.000030	0.000135	0.000016	0.000003
27	92	feat_aq_map_p5	1.46985	0.000857	0.002311	0.000110	0.000233	0.000012	0.000003
28	19	feat_luma_histogram_entropy	1.09566	0.000612	0.001396	-0.000279	0.000277	0.000032	0.000005
29	104	feat_info_weight_mean	1.42845	0.000612	0.002569	-0.000500	0.000125	0.000099	0.000009
30	107	feat_spectral_slope_y	0.333651	0.000490	0.001054	-0.000103	0.000204	0.000033	0.000009
31	66	feat_noise_floor_y_p75	0.441379	0.000490	0.001054	-0.000252	0.000146	0.000012	0.000001
32	95	feat_noise_floor_y_p5	0.19951	0.000245	0.001375	0.000018	0.000095	-0.000011	0.000001
33	99	feat_luma_kurtosis	15.2864	0.000245	0.000624	-0.000206	0.000812	-0.000017	0.000008
34	76	feat_laplacian_variance_peak	65.1032	0.000122	0.000458	-0.000156	0.000119	0.000003	0.000002
35	5	feat_uniformity	0.244176	0.000000	0.001025	-0.000322	0.000277	0.000881	0.000021
36	38	feat_noise_floor_y	0.297975	0.000000	0.001688	-0.000101	0.000172	0.000015	0.000004
37	82	feat_quant_survival_uv_p25	0.0192958	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
38	23	feat_alpha_present	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
39	24	feat_alpha_used_fraction	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
40	25	feat_alpha_bimodal_score	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
41	27	feat_peak_luminance_nits	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
42	28	feat_p99_luminance_nits	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
43	29	feat_hdr_headroom_stops	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
44	30	feat_hdr_pixel_fraction	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
45	31	feat_wide_gamut_peak	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
46	32	feat_wide_gamut_fraction	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
47	33	feat_effective_bit_depth	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
48	34	feat_hdr_present	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
49	40	feat_gamut_coverage_srgb	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
50	41	feat_gamut_coverage_p3	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
51	48	feat_is_grayscale	0.217945	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
52	50	feat_log_pixels	2.12744	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
53	51	feat_min_dim	287.492	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
54	52	feat_max_dim	287.492	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
55	53	feat_bitmap_bytes	840997	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
56	54	feat_aspect_min_over_max	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
57	55	feat_log_aspect_abs	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
58	56	feat_block_misalignment_8	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
59	58	feat_channel_count	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
60	85	feat_log_padded_pixels_8	2.12744	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
61	86	feat_log_padded_pixels_16	2.09714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
62	87	feat_log_padded_pixels_32	1.99643	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
63	88	feat_laplacian_variance_p1	0.265882	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
64	101	feat_palette_log2_size	2.37829	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
65	105	feat_info_weight_p90	2.82515	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
66	81	feat_quant_survival_uv_p10	0.012421	0.000000	0.000000	0.000000	0.000000	-0.000001	0.000000
67	103	feat_chroma_luma_covariance_cr	0.371331	-0.000122	0.002960	0.000091	0.000418	0.000147	0.000012
68	20	feat_dct_compressibility_y	23.7165	-0.000122	0.000900	-0.000013	0.000400	0.000555	0.000024
69	42	feat_gradient_fraction	0.195396	-0.000122	0.003035	-0.000429	0.000261	-0.000022	0.000002
70	0	feat_variance	1567.04	-0.000122	0.002135	-0.000390	0.000162	0.000021	0.000013
71	89	feat_laplacian_variance_p5	1.41169	-0.000122	0.000812	-0.000193	0.000137	0.000001	0.000003
72	26	feat_palette_fits_in_256	0.492829	-0.000122	0.000245	-0.000047	0.000093	0.000001	0.000000
73	98	feat_quant_survival_y_p5	0.0347921	-0.000245	0.000300	-0.000003	0.000005	0.000006	0.000000
74	7	feat_colourfulness	37.4718	-0.000245	0.000300	-0.000033	0.000045	0.000002	0.000000
75	2	feat_chroma_complexity	0.103795	-0.000367	0.003583	-0.000121	0.000598	0.000173	0.000022
76	106	feat_orientation_energy_ratio	0.094148	-0.000490	0.002135	0.000385	0.000470	0.000018	0.000052
77	57	feat_block_misalignment_32	0.414569	-0.000490	0.000900	-0.000515	0.000158	0.000076	0.000006
78	18	feat_high_freq_energy_ratio	0.713109	-0.000490	0.001470	-0.000250	0.000219	-0.000082	0.000007
79	44	feat_edge_slope_stdev	14.2561	-0.000612	0.003025	-0.000502	0.000293	0.000009	0.000006
80	73	feat_laplacian_variance_p75	37.5106	-0.000612	0.004189	-0.000102	0.000302	0.000144	0.000020
81	96	feat_noise_floor_y_p10	0.235303	-0.000735	0.000245	-0.000073	0.000110	0.000001	0.000001
82	84	feat_quant_survival_uv_p75	0.038844	-0.001225	0.000387	-0.000080	0.000058	-0.000006	0.000000
83	102	feat_chroma_luma_covariance_cb	0.284723	-0.001347	0.002027	-0.000271	0.000136	-0.000065	0.000010
84	22	feat_patch_fraction	0.286419	-0.001347	0.001792	-0.000367	0.000101	0.000030	0.000002
85	62	feat_aq_map_p95	2.24099	-0.001470	0.001841	-0.000534	0.000237	-0.000000	0.000002
86	93	feat_aq_map_p10	1.59527	-0.001592	0.000917	-0.000331	0.000109	0.000006	0.000001
87	47	feat_quant_survival_uv	0.0448958	-0.001715	0.001833	0.000897	0.000098	-0.000018	0.000006
88	91	feat_aq_map_p1	1.33141	-0.001960	0.002170	-0.000296	0.000115	0.000013	0.000011
89	65	feat_noise_floor_y_p50	0.438219	-0.001960	0.001187	-0.000434	0.000230	-0.000012	0.000002
90	3	feat_cb_sharpness	0.0288203	-0.001960	0.002238	-0.000645	0.000154	-0.000003	0.000013
91	37	feat_aq_map_std	0.690265	-0.001960	0.001873	-0.000168	0.000388	0.000045	0.000006
92	78	feat_quant_survival_y_p25	0.0626801	-0.002082	0.002406	-0.000646	0.000206	0.000141	0.000013
93	43	feat_skin_tone_fraction	0.274536	-0.002082	0.001068	-0.000486	0.000148	-0.000019	0.000011
